sum(views),category
461919619,1
49190861,2
4159713283,10
45629022,15
1389337978,17
15413050,19
421961773,20
1229501908,22
794647488,23
4027574336,24
491449042,25
465587429,26
43205309,27
202863454,28
51633006,29
65436,43
